date,上证综指(000001.SH),沪深300(000300.SH),创业板指(399006.SZ),中证新能源(399417.SZ),中证电子(399813.SZ),国证高端装备(399967.SZ),M2同比(%),CPI同比(%)
2014-09-18,109.79151763047747,103.73328257201405,111.83673255048939,,,145.5193778023405,12.8,2.0
2014-09-19,110.43260435377671,104.44590775623195,112.46216250075958,,,149.65114737156395,12.8,2.0
2014-09-22,108.55599280738906,102.45230574966688,111.27904438324596,,,146.82394992167778,12.8,2.0
2014-09-23,109.49711930527684,103.33698252093689,112.60214718196433,,,151.43198370418406,12.8,2.0
2014-09-24,111.10218276684172,105.16309801384853,113.83477756614202,100.0,,155.65339394929717,12.8,2.0
2014-09-25,111.1746208732679,104.95211410271762,113.15923520052094,100.31096695884563,,157.24750596506598,12.8,2.0
2014-09-26,111.29859053838862,104.96227785103906,113.37986486151945,100.22279421746525,,156.05113915863697,12.8,2.0
2014-09-29,111.77233006555932,105.41869905744154,114.4914902667136,101.05022053167166,,158.4031161213768,12.8,2.0
2014-09-30,112.06431062673656,105.55603885997196,115.59418846019102,101.30156275370459,,158.60361420117738,12.9,1.6
2014-10-08,112.96144330082625,106.7358519331363,116.84654873244847,102.5325207688397,,162.1129294569459,12.9,1.6
2014-10-09,113.27324004556773,106.88968629332405,117.11646560435346,104.36225487977897,,161.83245800071694,12.9,1.6
2014-10-10,112.57014478613927,106.23653626347883,116.59516145124955,103.10674158798774,,161.74945610746616,12.9,1.6
2014-10-13,112.16571449430567,105.72649697800753,116.15330198056569,102.95887756432948,,163.24189893137844,12.9,1.6
2014-10-14,111.85595625648588,105.36542551221414,115.46253084201612,102.44268439082951,,162.70246362143882,12.9,1.6
2014-10-15,112.52890057632857,106.11099674501652,115.95045172441473,101.5493115206171,,160.4682394992168,12.9,1.6
2014-10-16,111.71487261465059,105.27209990792332,114.52037242226763,99.0005536582704,,156.92768090041056,12.9,1.6
2014-10-17,110.98883230056884,105.15741320546535,113.35713423000551,98.67507978801277,,157.6976428044066,12.9,1.6
2014-10-20,111.72572884918699,105.71637629641624,114.95698059194166,99.93258944375977,,159.1232016042584,12.9,1.6
2014-10-21,110.91644160128038,104.7981936090695,113.839428718465,98.76704562090912,,156.23197754448884,12.9,1.6
2014-10-22,110.29521846868306,104.16295933897737,112.86936338477858,97.62399416529361,,156.79925125482404,12.9,1.6
2014-10-23,109.1510471999685,103.18512923033725,110.86524186367173,97.10693590074612,,155.7644224558534,12.9,1.6
